"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 09, 2010","138.40","138.31","138.53","138.23","23.05K","0.06"
"Apr 08, 2010","138.32","138.09","138.32","137.94","23.48K","0.17"
"Apr 07, 2010","138.09","138.24","138.35","138.06","29.26K","-0.10"
"Apr 06, 2010","138.23","138.45","138.47","138.10","32.17K","-0.16"
"Apr 05, 2010","138.45","138.69","138.73","138.40","18.14K","-0.18"
"Apr 02, 2010","138.70","138.69","138.83","138.53","26.47K","0.01"
"Apr 01, 2010","138.69","138.20","138.72","138.01","38.82K","0.34"
"Mar 31, 2010","138.22","138.25","138.37","138.12","23.23K","-0.01"
"Mar 30, 2010","138.24","138.13","138.29","138.10","24.03K","0.07"
"Mar 29, 2010","138.14","138.33","138.41","138.11","22.75K","-0.14"
"Mar 26, 2010","138.33","138.56","138.59","138.16","32.30K","-0.17"
"Mar 25, 2010","138.56","138.92","138.96","138.43","31.27K","-0.25"
"Mar 24, 2010","138.91","138.82","138.96","138.73","18.01K","0.06"
"Mar 23, 2010","138.82","138.64","138.97","138.59","21.61K","0.11"
"Mar 22, 2010","138.67","138.67","138.67","138.67","0","0.03"
"Mar 19, 2010","138.63","138.55","138.63","138.42","30.36K","0.06"
"Mar 18, 2010","138.55","138.83","138.84","138.39","47.44K","-0.21"
"Mar 17, 2010","138.84","138.97","139.06","138.81","26.90K","-0.09"
"Mar 16, 2010","138.96","138.93","139.00","138.85","21.41K","0.03"
"Mar 15, 2010","138.92","138.86","138.99","138.79","20.66K","0.05"
"Mar 12, 2010","138.85","139.17","139.18","138.74","38.04K","-0.96"
"Mar 11, 2010","140.20","140.35","140.40","140.12","7.35K","-0.09"
"Mar 10, 2010","140.32","140.27","140.37","140.21","16.10K","0.04"
"Mar 09, 2010","140.26","140.12","140.30","140.11","20.21K","0.10"
"Mar 08, 2010","140.12","140.19","140.21","140.04","17.01K","-0.05"
"Mar 05, 2010","140.19","140.02","140.27","139.97","25.65K","0.13"
"Mar 04, 2010","140.01","139.78","140.03","139.78","23.68K","0.16"
"Mar 03, 2010","139.78","139.83","139.94","139.77","18.63K","-0.02"
"Mar 02, 2010","139.81","139.76","139.90","139.69","29.70K","0.03"
"Mar 01, 2010","139.77","139.87","139.89","139.72","19.02K","-0.07"
"Feb 26, 2010","139.87","139.95","140.05","139.78","29.67K","-0.04"
"Feb 25, 2010","139.93","139.65","139.96","139.62","27.97K","0.21"
"Feb 24, 2010","139.63","139.41","139.68","139.39","26.63K","0.16"
"Feb 23, 2010","139.41","139.30","139.43","139.28","20.63K","0.08"
"Feb 22, 2010","139.30","139.47","139.52","139.25","22.62K","-0.12"
"Feb 19, 2010","139.47","139.60","139.63","139.37","24.22K","-0.09"
"Feb 18, 2010","139.60","139.61","139.71","139.52","21.48K","-0.01"
"Feb 17, 2010","139.61","139.70","139.73","139.59","19.02K","-0.06"
"Feb 16, 2010","139.70","139.59","139.76","139.50","27.49K","0.06"
"Feb 15, 2010","139.61","139.37","139.71","139.36","23.34K","0.17"
"Feb 12, 2010","139.37","139.45","139.48","139.31","13.83K","-0.04"
"Feb 10, 2010","139.43","139.32","139.51","139.16","27.43K","0.07"
"Feb 09, 2010","139.33","139.09","139.39","139.04","30.71K","0.17"
"Feb 08, 2010","139.10","138.94","139.12","138.88","21.37K","0.12"
"Feb 05, 2010","138.93","138.79","139.29","138.74","29.78K","0.09"
"Feb 04, 2010","138.80","139.05","139.11","138.69","39.57K","-0.19"
"Feb 03, 2010","139.07","139.15","139.22","139.04","17.56K","-0.04"
"Feb 02, 2010","139.12","139.40","139.41","139.03","33.84K","-0.20"
"Feb 01, 2010","139.40","139.52","139.57","139.35","23.08K","-0.08"
"Jan 29, 2010","139.51","139.53","139.71","139.50","23.73K","-0.03"
"Jan 28, 2010","139.55","139.57","139.62","139.43","21.33K","-0.02"
"Jan 27, 2010","139.58","139.37","139.61","139.20","28.96K","0.14"
"Jan 26, 2010","139.38","139.08","139.38","139.06","24.61K","0.22"
"Jan 25, 2010","139.08","139.23","139.29","139.03","19.74K","-0.11"
"Jan 22, 2010","139.23","138.97","139.46","138.90","33.56K","0.18"
"Jan 21, 2010","138.98","139.14","139.30","138.97","24.93K","-0.12"
"Jan 20, 2010","139.15","139.20","139.27","139.07","21.02K","-0.04"
"Jan 19, 2010","139.21","139.28","139.40","139.19","22.38K","-0.05"
"Jan 18, 2010","139.28","139.10","139.40","139.10","20.03K","0.13"
"Jan 15, 2010","139.10","138.96","139.18","138.90","21.95K","0.09"
"Jan 14, 2010","138.97","139.11","139.13","138.83","21.68K","-0.10"
"Jan 13, 2010","139.11","138.82","139.17","138.79","26.68K","0.20"
"Jan 12, 2010","138.83","138.71","139.08","138.66","28.16K","0.09"
"Jan 11, 2010","138.71","138.71","138.71","138.71","0","-0.01"
"Jan 08, 2010","138.72","138.91","138.96","138.56","33.60K","-0.14"
"Jan 07, 2010","138.91","139.11","139.17","138.91","24.16K","-0.14"
"Jan 06, 2010","139.11","139.28","139.32","139.09","23.31K","-0.11"
"Jan 05, 2010","139.26","139.33","139.40","139.09","30.42K","-0.05"
